record_id,entity_id,entity_name,entity_first_name,committee_name,entity_type,office_name,office_id,office_type_id,party_name,party_id,cash_balance,income,expense,ie_support,ie_opposition,bme_for,bme_against,committee_status,registration_date,termination_date,committee_address,mailing_address,phone,email,chairman,treasurer,candidate,designee,is_primary_record,record_source,record_date,created_at
5775,200292042,"Zajac, John C",,ZAJAC FOR SUPERINTENDENT,$500 Threshold (Candidate),Superintendent of Public Instruction,2040,,Libertarian,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5774,200693513,"Zachary, Steven William",,ZACHARY FOR SENATE 2006,Candidate (not participating in Clean Elections),State Senator - District No. 19,3119,,Democratic,10,0.00,51754.75,51754.75,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5772,201400428,"Zachary, Steven",,Zachary for Senate<br>(Clean Elections),Candidate (participating in Clean Elections),State Representative - District 25,3225,,Democratic,10,0.00,10.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,false,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5773,201400747,"Zachary, Steven",,Zachary for Senate<br>(Clean Elections),Candidate (participating in Clean Elections),State Senator - District No. 25,3125,,Democratic,10,0.00,22854.10,22854.10,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5771,201400428,"Zachary, Steven",,Zachary for Senate<br>(Clean Elections),Candidate (participating in Clean Elections),State Senator - District No. 25,3125,,Democratic,10,0.00,15678.16,15688.16,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5770,200291779,"Yrun, Virginia L",,YRUN FOR SENATE,Candidate (not participating in Clean Elections),State Senator - District No. 13,3113,,Democratic,10,0.00,270.00,2400.20,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5769,201000205,"Yount, Alvin Ray",,Committee to Elect Professor Yount Governor,Candidate (not participating in Clean Elections),Governor,2000,,Other,1000,0.00,160.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,false,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5768,201000205,"Yount, Alvin Ray",,Committee to Elect Professor Yount Governor,Candidate (not participating in Clean Elections),Governor,2000,,Libertarian,20,0.00,1090.51,1250.51,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5766,100603,"Young, Sherrylyn Rebecca",,Young for AZ Senate,Candidate (not participating in Clean Elections),State Senator - District No. 10,3110,,Republican,30,0.00,870.00,870.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5763,100912,"Young, Sherrylyn",,Young for Arizona,Candidate (not participating in Clean Elections),State Representative - District 10,3210,,Republican,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5765,100936,"Young, Sherrylyn",,Young for Arizona<br>(Clean Elections),Candidate (participating in Clean Elections),State Representative - District 17,3217,,Republican,30,0.00,16093.00,17638.24,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5764,100936,"Young, Sherrylyn",,Young for Arizona<br>(Clean Elections),Candidate (participating in Clean Elections),State Representative - District 10,3210,,Republican,30,0.00,2104.86,547.62,0.00,1000.00,0.00,0.00,,,,,,,,,,,,false,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5762,200693510,"Young, Robert B",,ROBERT YOUNG FOR STATE REPRESENTATIVE COMMITTEE,Candidate (not participating in Clean Elections),State Representative - District 15,3215,,Democratic,10,0.00,16722.36,16722.36,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5767,201000695,"Young-Scaggs, Sakena De",,Rev. SYS Scaggs for Senate 2010,$500 Threshold (Candidate),State Senator - District No. 13,3113,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5761,201200385,"Youn, Edward Jason",,Jason Youn for State legislature,Candidate (not participating in Clean Elections),State Representative - District 26,3226,,Republican,30,0.00,20940.99,20940.99,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5759,201400396,"Yoder, Paul",,voteYODER<br>(Clean Elections),Candidate (participating in Clean Elections),State Senator - District No. 30,3130,,Other,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5760,201400737,"Yoder, Paul",,voteYODER<br>(Clean Elections),Candidate (participating in Clean Elections),State Senator - District No. 30,3130,,Other,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5758,201000436,"Yoder, Dean",,Paul Yoder for representative<br>(Clean Elections),Candidate (participating in Clean Elections),State Representative - District 15,3215,,Republican,30,922.58,39803.00,35483.91,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5754,201400626,"Yee, Kimberly",,Kimberly Yee for Arizona,Candidate (not participating in Clean Elections),State Senator - District No. 20,3120,,Republican,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5755,201600165,"Yee, Kimberly",,Kimberly Yee for Arizona 2016,Candidate (not participating in Clean Elections),State Senator - District No. 20,3120,,Republican,30,0.00,114429.56,35493.76,0.00,55442.47,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5752,201200214,"Yee, Kimberly",,Kimberly Yee for Arizona,Candidate (not participating in Clean Elections),State Representative - District 10,3210,,Republican,30,0.00,33971.10,814.68,0.00,0.00,0.00,0.00,,,,,,,,,,,,false,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5753,201400010,"Yee, Kimberly",,Kimberly Yee for Arizona,Candidate (not participating in Clean Elections),State Senator - District No. 20,3120,,Republican,30,0.00,99618.83,83961.27,6951.56,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5747,100591,"Yee, Kimberly",,Kimberly Yee for Governor,Candidate (not participating in Clean Elections),Governor,2000,,Republican,30,0.00,461142.10,461142.10,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5756,201800030,"Yee, Kimberly",,Kimberly Yee for Arizona Senate 2018,Candidate (not participating in Clean Elections),State Senator - District No. 20,3120,,Republican,30,0.00,51850.00,51850.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5750,201200214,"Yee, Kimberly",,Kimberly Yee for Arizona,Candidate (not participating in Clean Elections),State Senator - District No. 10,3110,,Republican,30,0.00,840.00,1269.41,0.00,0.00,0.00,0.00,,,,,,,,,,,,false,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5757,201800367,"Yee, Kimberly",,Kimberly Yee for Arizona Treasurer,Candidate (not participating in Clean Elections),State Treasurer,2030,,Republican,30,0.00,705808.25,510260.17,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
