person_id,display_name,name_key,all_session_ids,all_entity_ids,all_legislator_ids,entity_id,primary_committee_name,primary_candidate_name,total_income_all_records,total_expense_all_records,earliest_activity,latest_activity,legislator_id,legislator_name,party,body,district,search_vector
8,Cesar Aguilar,cesar aguilar,"[""114"",""127"",""128"",""129""]",,"[""2146"",""2293""]",,,,,,,,2146,Cesar Aguilar,D,H,,"'aguilar':2,4 'cesar':1,3"
9,Stephanie Stahl Hamilton,stephanie hamilton,"[""123"",""124"",""125"",""129""]",,"[""2062"",""2093"",""2338""]",,,,,,,,2062,Stephanie Stahl Hamilton,D,H,,"'hamilton':3,6 'stahl':2,5 'stephani':1,4"
10,Lupe Diaz,lupe diaz,"[""125"",""127"",""128"",""129""]",,"[""2100"",""2159"",""2304""]",,,,,,,,2100,Lupe Diaz,R,H,,"'diaz':2,4 'lupe':1,3"
17,Lisa Otondo,lisa otondo,"[""114"",""115"",""116"",""117"",""119"",""120"",""121"",""122"",""123"",""124"",""125""]",,"[""1667"",""1777"",""1920"",""1958""]",,,,,,,,1667,Lisa Otondo,D,H,,"'lisa':1,3 'otondo':2,4"
28,Domingo DeGrazia,domingo degrazia,"[""121"",""122"",""123"",""124"",""125""]",,"[""1898"",""2038""]",,,,,,,,1898,Domingo DeGrazia,D,H,,"'degrazia':2,4 'domingo':1,3"
53,Kelli Ward,kelli ward,"[""114"",""115"",""116""]",,"[""1523""]",,,,,,,,1523,Kelli Ward,R,S,,"'kelli':1,3 'ward':2,4"
54,Lydia Hernandez,lydia hernandez,"[""127"",""128"",""129""]",,"[""2170"",""2314""]",,,,,,,,2170,Lydia Hernandez,D,H,,"'hernandez':2,4 'lydia':1,3"
58,Steve Montenegro,steve montenegro,"[""114"",""115"",""116"",""117"",""127"",""128"",""129""]","[""100208"",""100932"",""200893584"",""201000166"",""201400075"",""201400580"",""201400644"",""201600033""]","[""1651"",""1786"",""2183"",""2325""]",100208,Montenegro for House,"Montenegro, Steve",96590.56,95873.02,,,1651,Steve Montenegro,R,H,,"'hous':5 'montenegro':2,3,6,9 'steve':1,7,8"
70,Diego Espinoza,diego espinoza,"[""114"",""115"",""116"",""117"",""119"",""120"",""121"",""122"",""123"",""124"",""125""]",,"[""1671"",""1724"",""1863"",""2004""]",,,,,,,,1671,Diego Espinoza,D,H,,"'diego':1,3 'espinoza':2,4"
71,Andrew Sherwood,andrew sherwood,"[""114"",""115"",""116""]",,"[""1618"",""1676""]",,,,,,,,1618,Andrew Sherwood,D,H,,"'andrew':1,3 'sherwood':2,4"
